iter	RMSE
0	0.8524472973
1	0.8484666267
2	0.8444805845
3	0.8404589537
4	0.8366621988
5	0.8328574777
6	0.8290558162
7	0.8252335789
8	0.8213854348
9	0.8175030036
10	0.8137842133
11	0.8099688667
12	0.8062787887
13	0.8024803605
14	0.7987601349
15	0.7950360554
16	0.7912477841
17	0.7875051243
18	0.783818974
19	0.7800780334
20	0.7764070626
21	0.7728058544
22	0.769255002
23	0.7656562884
24	0.7620368861
25	0.7584871333
26	0.7549914102
27	0.7514143343
28	0.7479015312
29	0.7444744466
30	0.7410877303
31	0.7376313337
32	0.7342034148
33	0.7307401164
34	0.7273092762
35	0.7238412356
36	0.720440768
37	0.7171448891
38	0.7137256573
39	0.7103460147
40	0.7069921627
41	0.7037528286
42	0.7004895047
43	0.6972598995
44	0.6940597048
45	0.6908222655
46	0.6875926916
47	0.6843876802
48	0.6811261845
49	0.6780241204
50	0.6748598486
51	0.6717913433
52	0.668689503
53	0.6655331082
54	0.6624241103
55	0.6593193683
56	0.6562518283
57	0.653195054
58	0.6501244251
59	0.6470943265
60	0.6441494953
61	0.641084005
62	0.6381134724
63	0.6351572487
64	0.63232254
65	0.6293615087
66	0.6265042258
67	0.6236196105
68	0.6206647597
69	0.6177979654
70	0.6149014228
71	0.6120823323
72	0.6092303389
73	0.606446971
74	0.6036291161
75	0.6008040578
76	0.5979794331
77	0.5951637251
78	0.5923791914
79	0.5896286292
80	0.5869166176
81	0.5842382772
82	0.5815506178
83	0.5788511954
84	0.5762031268
85	0.5735660883
86	0.5710197342
87	0.5683630624
88	0.5657507345
89	0.5631108269
90	0.5605364163
91	0.5580221193
92	0.5554343851
93	0.5528850502
94	0.5503578811
95	0.5478186706
96	0.5453108687
97	0.5427722979
98	0.5402798731
99	0.5377369402
100	0.535251052
101	0.5327995441
102	0.5303316485
103	0.5279504173
104	0.5254657997
105	0.5229980155
106	0.5206318123
107	0.518223925
108	0.5158470427
109	0.5134954273
110	0.5111213651
111	0.5088052901
112	0.5064149674
113	0.504040847
114	0.5016937131
115	0.4993576061
116	0.497079232
117	0.4948066012
118	0.4925913204
119	0.4903332634
120	0.4880702763
121	0.4858430263
122	0.4836028274
123	0.4813564626
124	0.4791279151
125	0.4770200807
126	0.474826659
127	0.4726595267
128	0.4704553953
129	0.4683447352
130	0.4661795657
131	0.4640002835
132	0.4618796856
133	0.4597724604
134	0.4576864059
135	0.4555911948
136	0.4534698001
137	0.4513519354
138	0.4492720684
139	0.4471786833
140	0.4450970422
141	0.4431356401
142	0.4410956665
143	0.4390578847
144	0.4370451362
145	0.4350659191
146	0.4330647458
147	0.431087987
148	0.4291745665
149	0.4272070273
150	0.4252246349
151	0.4233640708
152	0.4214663035
153	0.4195744666
154	0.417629048
155	0.4156888816
156	0.4138096536
157	0.4119621543
158	0.4100762273
159	0.4082251777
160	0.4063853252
161	0.4045100049
162	0.402657154
163	0.4008276516
164	0.3990501725
165	0.3971939648
166	0.3954221966
167	0.3936471646
168	0.3919202728
169	0.3901235145
170	0.3883580547
171	0.3866340857
172	0.3848937458
173	0.383099901
174	0.38132579
175	0.3795926876
176	0.3778715747
177	0.3761536116
178	0.3744772052
179	0.3727951352
180	0.3711240148
181	0.3694671259
182	0.3677993291
183	0.3661094963
184	0.3644754826
185	0.3628108944
186	0.3611513021
187	0.3594758262
188	0.3578592936
189	0.3562402412
190	0.3546474833
191	0.3530784236
192	0.3514568805
193	0.349876549
194	0.3482828242
195	0.3467197987
196	0.3451477983
197	0.3436273214
198	0.3420534357
199	0.3405213055
200	0.3389683371
201	0.3374212608
202	0.3359163456
203	0.3344109208
204	0.332932306
205	0.3314295694
206	0.3300201202
207	0.3285214746
208	0.3270283222
209	0.3255562456
210	0.3241288899
211	0.3226717431
212	0.3212325061
