iter	Passed	Remaining
0	107	1074185
1	144	724064
2	180	602455
3	201	503031
4	217	433843
5	231	385188
6	246	351335
7	259	324674
8	273	303207
9	286	286484
10	301	273373
11	314	262038
12	328	252178
13	341	243670
14	355	236730
15	370	231478
16	387	227552
17	403	223959
18	419	220466
19	437	218156
20	453	215561
21	467	212098
22	481	208751
23	494	205536
24	507	202643
25	521	200134
26	536	198130
27	550	196052
28	564	194028
29	578	192412
30	593	190770
31	606	188930
32	620	187273
33	633	185609
34	647	184414
35	661	183019
36	676	182182
37	691	181261
38	705	180316
39	719	179166
40	733	178095
41	746	177028
42	763	176711
43	778	176094
44	793	175494
45	807	174652
46	821	173955
47	835	173164
48	848	172316
49	861	171492
50	875	170828
51	889	170123
52	902	169470
53	916	168865
54	933	168764
55	948	168367
56	961	167762
57	975	167134
58	989	166653
59	1002	166033
60	1016	165542
61	1029	165040
62	1044	164755
63	1058	164403
64	1072	163895
65	1085	163453
66	1100	163192
67	1114	162820
68	1127	162322
69	1141	161881
70	1155	161606
71	1169	161239
72	1182	160845
73	1196	160441
74	1210	160169
75	1224	159895
76	1238	159620
77	1258	160043
78	1273	159866
79	1286	159573
80	1300	159218
81	1313	158857
82	1327	158668
83	1341	158413
84	1356	158218
85	1369	157859
86	1383	157657
87	1397	157380
88	1410	157094
89	1425	156985
90	1439	156778
91	1453	156522
92	1466	156251
93	1480	155973
94	1494	155784
95	1507	155543
96	1521	155305
97	1534	155030
98	1550	155071
99	1564	154888
100	1577	154644
101	1590	154377
102	1605	154272
103	1619	154059
104	1632	153826
105	1646	153637
106	1660	153561
107	1674	153354
108	1687	153145
109	1706	153417
110	1720	153277
111	1733	153070
112	1747	152858
113	1761	152781
114	1775	152642
115	1789	152441
116	1802	152281
117	1818	152283
118	1834	152326
119	1852	152488
120	1866	152368
121	1879	152198
122	1893	152084
123	1907	151913
124	1921	151772
125	1934	151618
126	1950	151635
127	1963	151455
128	1977	151333
129	1990	151155
130	2005	151067
131	2018	150926
132	2036	151076
133	2050	150945
134	2063	150821
135	2077	150659
136	2090	150485
137	2108	150646
138	2122	150603
139	2136	150444
140	2149	150293
141	2162	150142
142	2177	150106
143	2190	149961
144	2206	149952
145	2219	149829
146	2234	149777
147	2247	149636
148	2265	149774
149	2279	149690
150	2293	149573
151	2306	149455
152	2320	149320
153	2333	149197
154	2347	149106
155	2361	148986
156	2374	148866
157	2388	148752
158	2402	148696
159	2415	148554
160	2428	148434
161	2441	148294
162	2456	148231
163	2470	148190
164	2484	148088
165	2497	147961
166	2511	147869
167	2524	147765
168	2538	147653
169	2552	147572
170	2566	147493
171	2579	147401
172	2594	147366
173	2607	147241
174	2621	147160
175	2635	147084
176	2648	146969
177	2662	146908
178	2676	146838
179	2689	146727
180	2702	146618
181	2715	146512
182	2730	146481
183	2743	146386
184	2757	146283
185	2770	146194
186	2785	146154
187	2801	146204
188	2814	146102
189	2827	146007
190	2841	145945
191	2855	145873
192	2868	145777
193	2882	145674
194	2897	145669
195	2912	145663
196	2925	145575
197	2938	145484
198	2951	145382
199	2966	145341
200	2979	145239
201	2993	145209
202	3007	145144
203	3024	145247
204	3039	145216
205	3052	145121
206	3066	145059
207	3080	145013
208	3093	144921
209	3107	144874
210	3121	144817
211	3135	144761
212	3148	144679
213	3161	144593
214	3175	144517
215	3189	144477
216	3202	144395
217	3216	144318
218	3231	144304
219	3244	144242
220	3258	144170
221	3271	144082
222	3284	144007
223	3299	143980
224	3312	143916
225	3326	143848
226	3341	143847
227	3356	143840
228	3370	143813
229	3384	143770
230	3398	143735
231	3413	143718
232	3427	143658
233	3441	143613
234	3454	143563
235	3469	143534
236	3483	143480
237	3497	143436
238	3510	143369
239	3524	143332
240	3538	143305
241	3553	143288
242	3568	143281
243	3582	143246
244	3596	143197
245	3609	143136
246	3623	143078
247	3637	143054
248	3651	142990
249	3664	142933
250	3679	142916
251	3694	142921
252	3712	143032
253	3726	143000
